Title,Author,First Published Year,Subjects,Cover Image URL
Fantastic Beasts,J. K. Rowling,2014,Children's plays,http://covers.openlibrary.org/b/id/8457205-L.jpg
Harry Potter i la cambra secreta,J. K. Rowling,2016,,http://covers.openlibrary.org/b/id/13523563-L.jpg
Harry Potter y las reliquias de la muerte,J. K. Rowling,2015,,http://covers.openlibrary.org/b/id/14171609-L.jpg
The Christmas Pig,J. K. Rowling,2021,nyt:childrens-middle-grade-hardcover=2021-10-31,http://covers.openlibrary.org/b/id/12458195-L.jpg
Very good lives,J. K. Rowling,2015,Anxiety,http://covers.openlibrary.org/b/id/8784061-L.jpg
Ink Black Heart,J. K. Rowling,2022,nyt:combined-print-and-e-book-fiction=2022-09-18,http://covers.openlibrary.org/b/id/12900629-L.jpg
Harry Potter i l'orde del Fènix,J. K. Rowling,2016,,http://covers.openlibrary.org/b/id/13777373-L.jpg
Harry Potter Boxed Set,J. K. Rowling,2000,English literature,http://covers.openlibrary.org/b/id/13729612-L.jpg
Harry Potter (series) 1-5,J. K. Rowling,2003,"Potter, harry (fictitious character), fiction",http://covers.openlibrary.org/b/id/4628630-L.jpg
Biblioteca Hogwarts,J. K. Rowling,2022,,http://covers.openlibrary.org/b/id/14171633-L.jpg
Harry Potter (series) 1-3,J. K. Rowling,1999,Children's fiction,http://covers.openlibrary.org/b/id/771812-L.jpg
Harry Potter i el misteri del príncep,J. K. Rowling,2016,,http://covers.openlibrary.org/b/id/13925685-L.jpg
Harry Potter i les relíquies de la mort,J. K. Rowling,2016,,http://covers.openlibrary.org/b/id/13925709-L.jpg
Harry Potter Schoolbooks (Fantastic Beasts and Where To Find Them / Quidditch Through The Ages),J. K. Rowling,2001,"Animals, mythical, juvenile literature",http://covers.openlibrary.org/b/id/488308-L.jpg
Hogwarts Library,J. K. Rowling,2012,English Fantasy fiction,http://covers.openlibrary.org/b/id/8761963-L.jpg
Harry Potter (series) 1-6,J. K. Rowling,2005,"England, fiction",http://covers.openlibrary.org/b/id/2583979-L.jpg
Harry Potter and the Half-Blood Prince,J. K. Rowling,2010,Children's fiction,
Harry Potter y el cáliz de fuego,J. K. Rowling,2019,,http://covers.openlibrary.org/b/id/14171588-L.jpg
Harry Potter i la pedra filosofal  TD,J. K. Rowling,2021,,http://covers.openlibrary.org/b/id/13777371-L.jpg
Harry Potter y la piedra filosofal,J. K. Rowling,2014,,http://covers.openlibrary.org/b/id/14171595-L.jpg
Harry Potter,J. K. Rowling,2022,,http://covers.openlibrary.org/b/id/14171961-L.jpg
Harry Potter Pocalul de Foc,J. K. Rowling,2003,,http://covers.openlibrary.org/b/id/10447762-L.jpg
Harry Potter and the Goblet of Fire [2/4],J. K. Rowling,2000,,http://covers.openlibrary.org/b/id/8472781-L.jpg
